Team1Goal,Team1Los,Team1Yellow,Team1Red,Team1WinRate,Team1PinRate,Team1LosRate,Team1MatchCount,Team2Goal,Team2Los,Team2Yellows,Team2Reds,Team2WinRate,Team2PinRate,Team2LosRate,Team2MatchCount,3,1,0,AllResult
1.282,1.213,2.086,0.159,0.336,0.364,0.3,69,1.321,1.331,1.878,0.093,0.356,0.315,0.329,62,0,1,0,1
1.651,1.193,1.558,0.101,0.386,0.389,0.225,82,1.442,1.794,2.203,0.114,0.33,0.224,0.446,62,0,0,1,0
1.914,1.352,1.476,0.086,0.557,0.208,0.235,91,1.41,1.687,1.395,0.09,0.322,0.199,0.479,75,1,0,0,3
2.087,1.007,1.134,0.023,0.626,0.192,0.182,103,1.499,1.261,1.463,0.07,0.366,0.275,0.359,81,1,0,0,3
2.048,1.492,1.372,0.088,0.505,0.167,0.328,76,1.012,1.851,1.054,0.035,0.154,0.176,0.67,42,1,0,0,3
1.081,1.722,1.991,0.111,0.335,0.19,0.475,36,1.088,1.773,1.98,0.143,0.413,0.079,0.507,16,0,0,1,0
0.996,1.078,1.437,0.027,0.377,0.257,0.366,88,2.122,0.966,1.327,0.057,0.604,0.158,0.238,114,0,0,1,0
1.189,1.084,1.354,0.111,0.397,0.277,0.325,99,1.844,1.206,1.61,0.045,0.577,0.157,0.266,98,0,1,0,1
1.186,1.816,2.558,0.073,0.24,0.256,0.504,73,1.496,1.475,2.348,0.117,0.404,0.187,0.41,107,0,0,1,0
1.512,1.535,1.676,0.061,0.399,0.202,0.398,82,1.543,1.32,1.69,0.114,0.493,0.239,0.269,79,1,0,0,3
1.605,1.191,1.884,0.206,0.461,0.221,0.317,100,1.719,1.106,1.926,0.08,0.513,0.286,0.2,85,0,0,1,0
1.14,1.682,2.013,0.093,0.283,0.205,0.512,59,1.248,2.022,1.849,0.161,0.195,0.182,0.622,24,1,0,0,3
1.787,1.368,2.501,0.113,0.479,0.182,0.34,94,1.402,1.071,2.235,0.116,0.455,0.24,0.305,109,0,0,1,0
1.883,1.278,1.3,0.001,0.489,0.27,0.241,43,1.316,1.403,1.817,0.093,0.291,0.3,0.409,89,1,0,0,3
1.413,1.541,1.881,0.127,0.355,0.171,0.474,77,1.123,1.572,1.755,0.073,0.296,0.187,0.518,81,0,1,0,1
1.099,1.536,1.669,0.098,0.308,0.264,0.428,84,1.159,1.553,1.902,0.161,0.229,0.324,0.447,81,1,0,0,3
1.389,0.747,1.29,0.111,0.621,0.184,0.195,38,1.222,1.036,1.379,0.133,0.51,0.099,0.391,32,1,0,0,3
1.169,1.34,1.769,0.055,0.406,0.174,0.42,76,1.202,1.148,1.903,0.153,0.312,0.324,0.364,86,0,1,0,1
2.347,0.973,1.175,0.02,0.684,0.171,0.144,121,1.699,1.087,1.494,0.071,0.614,0.105,0.28,96,1,0,0,3
1.25,0.981,1.271,0.04,0.463,0.251,0.286,85,1.186,1.814,1.634,0.18,0.28,0.185,0.535,85,1,0,0,3
2.364,0.906,1.646,0.064,0.678,0.196,0.126,122,1.198,1.597,1.355,0.055,0.287,0.259,0.454,88,1,0,0,3
1.062,1.219,1.113,0.022,0.318,0.291,0.391,87,1.02,1.425,1.538,0.09,0.395,0.208,0.397,87,0,1,0,1
1.159,1.743,1.224,0.027,0.297,0.216,0.488,86,0.942,1.432,1.609,0.018,0.196,0.302,0.502,92,1,0,0,3
1.004,1.546,1.304,0.001,0.285,0.155,0.559,84,1.122,1.516,1.612,0,0.323,0.214,0.463,97,0,1,0,1
1.232,1.682,1.65,0.095,0.312,0.232,0.456,100,1.531,1.326,1.665,0.055,0.43,0.19,0.38,132,0,0,1,0
1.28,1.315,1.593,0.043,0.372,0.261,0.368,102,1.357,1.049,1.417,0.048,0.467,0.25,0.283,83,1,0,0,3
1.411,1.102,1.317,0.02,0.461,0.254,0.284,105,1.3,1.133,1.515,0.092,0.405,0.289,0.306,110,1,0,0,3
1.515,1.288,1.529,0.095,0.408,0.303,0.289,102,1.247,1.501,1.392,0.054,0.271,0.297,0.431,92,1,0,0,3
1.516,1.132,1.8,0.093,0.484,0.19,0.326,91,1.32,1.841,1.605,0.106,0.275,0.223,0.502,100,1,0,0,3
1.323,1.284,1.889,0.097,0.36,0.344,0.296,85,1.35,1.662,1.728,0.084,0.357,0.132,0.511,88,0,1,0,1
1.123,1.461,1.718,0.068,0.307,0.236,0.457,99,1.572,1.187,1.545,0.027,0.478,0.242,0.28,98,0,1,0,1
1.325,1.36,1.628,0.071,0.409,0.231,0.36,107,0.938,1.588,1.199,0.044,0.271,0.249,0.48,96,0,0,1,0
1.269,1.118,1.33,0.107,0.39,0.293,0.317,102,1.147,1.222,1.614,0.067,0.335,0.235,0.43,84,0,0,1,0
1.023,1.668,1.607,0.079,0.193,0.299,0.508,94,0.848,1.421,1.841,0.126,0.226,0.273,0.5,96,0,1,0,1
1.384,0.941,1.641,0.059,0.522,0.195,0.283,101,1.304,1.316,1.575,0.004,0.369,0.225,0.406,97,1,0,0,3
1.017,1.254,1.231,0.077,0.295,0.292,0.413,84,1.412,1.098,1.153,0.034,0.485,0.24,0.275,109,1,0,0,3
1.537,1.68,1.14,0.084,0.39,0.111,0.5,79,1.11,1.09,1.071,0.002,0.321,0.312,0.367,50,0,0,1,0
1.278,1.256,1.339,0.086,0.354,0.313,0.333,101,1.266,1.37,0.89,0.002,0.294,0.376,0.329,51,0,1,0,1
1.654,1.424,1.278,0.006,0.407,0.235,0.357,89,1.507,1.037,1.423,0.062,0.457,0.206,0.337,91,0,0,1,0
1.585,1.374,1.545,0.102,0.417,0.221,0.362,91,1.031,1.513,1.702,0.109,0.251,0.238,0.511,102,1,0,0,3
0.941,1.461,1.121,0.191,0.248,0.278,0.474,38,1.187,1.41,1.729,0.123,0.315,0.291,0.394,94,1,0,0,3
1.419,1.291,1.374,0.105,0.335,0.352,0.313,93,1.244,1.371,1.039,0.05,0.311,0.309,0.38,91,0,1,0,1
1.316,1.746,1.521,0.108,0.283,0.152,0.565,86,1.186,1.451,1.943,0.071,0.278,0.345,0.377,105,1,0,0,3
1.391,1.084,1.432,0.046,0.464,0.264,0.273,97,1.261,1.374,1.55,0.092,0.352,0.237,0.411,100,1,0,0,3
0.949,1.623,1.292,0.115,0.238,0.258,0.505,78,1.49,1.174,1.483,0.133,0.425,0.289,0.286,105,0,1,0,1
0.921,1.52,2.264,0.123,0.244,0.221,0.535,80,0.59,2.117,2.357,0.13,0,0.092,0.908,18,1,0,0,3
1.131,1.79,2.369,0.156,0.158,0.36,0.482,19,1.616,1.579,2.044,0.101,0.34,0.399,0.261,85,0,1,0,1
